Año;Localidad;Descripción;Categoría;Fuente;Pag;
1915;Cañada de Gómez;"Constatación de explotación de trabajo infantil.
Cita: ""...duro trabajo de menores que había constatado hacia 1904... «Entrar en un taller en Cañada de Gómez... es ver una cantidad de aprendices de dieciséis a veinte años que son sus verdaderos oficiales, aprendices son por el sueldo...»";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;42;
1916;Cañada de Gómez;"Formación del colegio religioso para varones San Luis Gonzaga en el edificio parroquial.
Cita: ""...había formado en 1916 otro colegio religioso, para varones, al que dio el nombre de San Luis Gonzaga, cuyas clases se impartían en el propio edificio parroquial...""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;106;
1917;Cañada de Gómez;"Crisis Energética y Locomotoras a Maíz: Debido a la Primera Guerra Mundial y la falta de carbón europeo, «hubo que quemar maíz para alimentarlas [las locomotoras]»
";Huellas de la energía;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;50-51;
1917;Cañada de Gómez;Ocupación de local por el Correo. Se menciona que el edificio de la calle Lavalle 1058, que pertenecía a una escuela, fue ocupado posteriormente por la oficina postal.;Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;109;
1917;Correa;"Club A. San Martín:
Hito: Referencia gráfica a la fundación de este club, hoy desaparecido.";Huellas de la infraestructura y las  instituciones;Correa, nuestro pueblo;110;
1917;Totoras;"Surgimiento del sindicalismo de cosecha: La normalización de la producción tras la guerra generó escasez de brazos y el surgimiento de gremios radicalizados. Cita: ""...esos gremios fueron captados por delegados gremiales anarcocomunistas... se creó entonces la Federación Comarcal Totorense...""
";Huellas del trabajo;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);88;
1918;Totoras;"Incorporación del Tractor (Modelo Fordson):
Hito: Transición de la tracción a sangre a la mecanización con motores de combustión interna para la siembra.
Cita: ""Tractor Fordson de Emilio Rigat. Año 1918. Las labores de siembra requerían muy poca fuerza de trabajo, una persona en monótonos viajes de ida y vuelta araba la superficie seleccionada.""";Huellas de la energía;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);26;
1919;Cañada de Gómez;"Inicio de la Escuela N° 494 Almafuerte en el barrio Sur.
Cita: ""El 1° de agosto de 1919 se inicia en el barrio Sur de Cañada de Gómez... la creación de la Escuela N° 494 Almafuerte...""
";;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;113;
1919;Cañada de Gómez;"Repercusión de la ""Semana Roja"" o ""Semana Trágica"".
Cita: ""¿Quién olvidó la trágica Semana Roja, aquella que en el fin del diez y ocho y al principio del año diez y nueve al país íntegramente trastornó... la vez que los huelguistas, bien unidos, contra el ejército firme pelearon...""";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;148;
1919;Totoras;"Fundación de la Cooperativa Agrícola: Creación de la Unión Agrícola Ganadera para defender a los pequeños productores. Cita: ""...se crea la 'Unión Agrícola Ganadera de Totoras', que posiblemente haya sido la institución original, de donde surgió en los años veinte la Cooperativa Agrícola Santa Teresa""";Huellas del trabajo;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);41;
1919;Totoras;"Huelga de Estibadores: Gran conflicto laboral que se propagó por toda la región. Cita: ""...comenzó una huelga organizada por los estibadores de Totoras, Larguía y Puerto San Martín que se propagó posteriormente a Serodino, Clarke, Oliveros, Monje, Maciel y entre los trabajadores de la industria del papel de Andino""";Huellas del trabajo;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);89;
1920;Departamental;"""Durante los años veinte adquirió gran difusión el automóvil y aparecieron en las rutas de Salto Grande los primeros camiones.""";Huellas del transporte y las comunicaciones;Centenario de Salto Grande;27;
1920;Totoras;"Inauguración de la Biblioteca Popular Sarmiento:
Hito: Apertura de la biblioteca como un proyecto cultural de ideología progresista.";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);162;
1921;Cañada de Gómez;"Romerías Españolas.
Cita: ""...los tradicionales festejos del 12 de Octubre se iniciaban a la salida del sol con «gaitas y tamboriles» que recorrían las calles «ejecutando hermosas alboradas»"".";Huellas de la identidad y la celebración;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;271;
1921;Cañada de Gómez;"Huelga del Magisterio.
Cita: ""...el Eco de Iriondo aludió a la «Declaración de huelga de el Magisterio»... que se había iniciado el día 15 del mismo mes, subrayando el «entusiasmo y decisión de la docencia santafesina»...""";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;151;
1921;Cañada de Gómez;"Fundación de la Cooperativa Ganadera.
Cita: ""En ese año se había fundado asimismo la Cooperativa Ganadera... que debió ser la primera entidad de esa índole conformada en él...""";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;74;
1921;Totoras;"Fundación del Unión Football Club (U.F.C.):
Hito: Fusión de los clubes Belgrano y Totoras para consolidar la actividad deportiva local.";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);178, 179;
1921;Bustinza;"Círculo Recreativo ""20 de Setiembre"":
Hito: Existencia de una entidad social vinculada a la colectividad italiana.";Huellas de la infraestructura y las  instituciones;Bustinza y su historia;29;
1922;Cañada de Gómez;"Proclamación de Cañada de Gómez como ciudad.
Cita: ""El día 6 de octubre de 1922... dio la noticia oficial haciendo saber que por decreto del P.E. se había declarado feriado en esta localidad el día siete siguiente con motivo de la declaratoria de Ciudad"".";Huellas de la identidad y la celebración;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;27, 72;
1923;Salto Grande;"""...inauguración de la Escuela Primaria Nacional Nº 129 en la Colonia El carmen, el día 23 de mayo de 1923.""";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;91;
1924;Totoras;"Instalación de Surtidores de Nafta:
Hito: Aparición de infraestructura urbana para el abastecimiento de combustibles debido al auge automotor.
Cita: ""...a partir de 1924 los libros de actas comunales nos informan sobre numerosos pedidos de autorización para instalar surtidores de nafta.""";Huellas de la energía;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);47;
1924;Totoras;"undación del Club Totoras Juniors:
Hito: Creación de la segunda gran institución deportiva del pueblo.";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);178, 179;
1925;Salto Grande;"Inauguración de la Sede de la Sociedad Italiana:
Hito: Apertura del edificio que se convertiría en el corazón de la vida social y cultural.";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;78;
1925;Totoras;"Inauguración del Edificio de la Escuela Fiscal:
Hito: Finalización de una obra largamente esperada por la comunidad tras gestiones ante el gobierno provincial.";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);220, 221;
1925;Totoras;"Fundación de la Escuela Nacional N° 239 (Láinez):
Hito: Creación de una escuela en el ámbito rural para acercar la alfabetización al campo.";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);224, 225 ;
1926;Totoras;"Construcción del nuevo edificio de la Escuela N° 242:
Hito: Obra pública de magnitud para el sistema educativo local.";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);56, 57;
1927;Cañada de Gómez;Funcionamiento ininterrumpido del telégrafo y teléfono. A raíz de un suceso policial de gran relevancia (la detención de Salvador Marino), estos servicios fueron fundamentales para la prensa.;Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;80;
1927;Cañada de Gómez;"(15 de febrero): Habilitación del edificio de la Escuela Sarmiento.
Cita: ""...se había iniciado la construcción del hermoso edificio de la escuela, que se habilitó el 15 de febrero de 1927""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;110;
1927;Cañada de Gómez;"Loteo y trazado de campos de juego.
Cita: ""...al lotearse las fracciones de terreno de Camilo Soto... el Sport Club Cañadense ya había adquirido el predio que conforman ahora sus instalaciones... trazó su cancha de fútbol el Club Aprendices""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;75;
1927;Salto Grande;"Fiestas Mayas:
Hito: Celebración patria organizada por el Club Atlético Provincial con desfiles y bailes.";Huellas de la identidad y la celebración;Centenario de Salto Grande;63;
1927;Bustinza;"Inauguración del actual edificio de la Escuela Fiscal:
Hito: Construcción de la sede moderna que reemplazó a la antigua edificación.";Huellas de la infraestructura y las  instituciones;Bustinza y su historia;29, 32;
1927;Bustinza;Fundación del Club Atlético Huracán: Hito: Nacimiento de la institución que custodia actualmente gran parte del acervo deportivo local.;Huellas de la infraestructura y las  instituciones;Bustinza y su historia;29;
1928;Salto Grande;"""La Escuela Nº 244 se inauguró en el año 1928, funcionando originalmente en un local alquilado...""";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;92;
1929;Cañada de Gómez;Tanque de Agua y Cloacas: Para este año ya se habían habilitado servicios cloacales y de aguas corrientes, destacándose el «importante tanque erigido hacia 1929 [que] fue entonces el símbolo de una población pujante»;Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;210-211;
1929;Cañada de Gómez;"Conflicto de estibadores contra empresas cerealistas.
Cita: ""...a inicios de julio de ese año los obreros de la empresa cerealista y casa de ramos generales Maranetto, Sidler y Cía. exigieron a sus patrones el cumplimiento de un convenio ya celebrado... Ante esta grave situación los jornaleros rosarinos, solidarios con los de Cañada, declararon el boicot a esa firma...""";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;156;
1929;Totoras;"""En el año 1929, el 11 de mayo, se instaló en la localidad el servicio de teléfonos, una pequeña central telefónica con apenas 43 abonados""";Huellas del transporte y las comunicaciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);54;
1929;Totoras;"Biblioteca del Club Unión:
Hito: Inauguración de un espacio cultural dentro de la infraestructura del club.";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);180, 181;
1930;Salto Grande;"Crisis económica y éxodo rural:
Hito: El estancamiento económico mundial provoca desempleo y la emigración de trabajadores hacia las ciudades industriales.
Cita: ""La decadencia de las actividades agropecuarias, generada por la menor demanda del mercado externo, provocará un éxodo de las zonas rurales... miles de arrendatarios, medieros y pequeños propietarios... emigrarán a las grandes ciudades.""
Página: 47.";Huellas del trabajo;Centenario de Salto Grande;47;
1930;Totoras;"Transición energética en el agro:
Hito: Reemplazo de los motores a vapor por tractores de combustión y máquinas más livianas.
Cita: ""Entre los años treinta y cuarenta, las trilladoras y desgranadoras a vapor, con sus pesados motores semimóviles... comienzan a desaparecer del panorama rural totorense reemplazadas por maquinarias que demandaban cada vez menos mano de obra... un simple tractor suplantó el viejo motor a vapor.""";Huellas de la energía;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);33, 38;
1930;Totoras;"""En los años treinta la Sociedad Italiana adquirió 224 butacas para dotar de mayor confort a esta sala donde también se ofrecían veladas teatrales, bailes populares y conferencias.""";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);52, 53;
1931;Cañada de Gómez;Abastecimiento de Agua Potable: El 18 de enero de 1931 se habilitaron las obras construidas por Obras Sanitarias de la Nación, iniciando el «abastecimiento de agua potable a Cañada de Gómez»;Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;90-91;
1931;Cañada de Gómez;"Inicio de actividades del Instituto Florentino Ameghino en diversas sedes.
Cita: ""...actividades se iniciaron el 23 de marzo de 1931... comenzó a funcionar... en la actual sede del Concejo Deliberante... el Instituto se trasladó al local que había ocupado la antigua fonda del Águila de Victorio Zammatti...""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;128-129;
1932;Cañada de Gómez;"Habilitación del Club Social.
Cita: ""...participó de un baile de gala que tuvo lugar en la antigua sede del Club Social... El Club Social, habilitado en 1932""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;72 y 314;
1933;Cañada de Gómez;"Intervención de oficinas de comunicación. Durante la revolución de ese año, las oficinas estratégicas de comunicación fueron puntos clave.
Cita: ""...estaban intervenidas las oficinas de correos y teléfonos y que en la ciudad se recibían «llamados telefónicos en procura de informes»...""";Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;219;
1933;Salto Grande;"se creó la primera línea de colectivos que conectaba la localidad con Rosario. Allí trabajaban los Señores Zárate y Freyrías. La empresa pionera tuvo una vida efímera; cuatro años más tarde surgió la compañía Durán, de Pedro y Luis Rosse, que tampoco logró consolidarse definitivamente.";Huellas del transporte y las comunicaciones;Centenario de Salto Grande;;
1933;Totoras;"Aparición de la revista ""Proa"":
Hito: Lanzamiento de la publicación mensual que servía de órgano intelectual para la localidad.";Huellas del transporte y las comunicaciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);165;
1934;Cañada de Gómez;Construcción de la Ruta 9 y Máquinas a Vapor: Durante la construcción del pavimento de la Ruta 9, se utilizó tecnología ferroviaria y de vapor: «el ferrocarril los descargaba allí, y desde ese lugar una pequeña máquina a vapor arrastraba unas zorritas, seis o siete, que llevaban los materiales»;Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;194-195;
1935;Cañada de Gómez;"Donación de terreno para la escuela Fiscal N° 764 (hoy CER N° 118).
Cita: ""...el 3 de octubre de 1935 Fortunato Torriglia donó el terreno en el que construyó su edificio, denominada Fiscal N° 764...""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;118;
1935;Totoras;"Nueva escuela rural en Campo Lassaga:
Hito: Expansión del sistema escolar al distrito rural con apoyo privado.";Huellas de la infraestructura y las  instituciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);226, 227;
1937;Cañada de Gómez;Inauguración de la Ruta 9: El 5 de junio de 1937 se inauguró oficialmente el «camino pavimentado Buenos Aires-Rosario-Córdoba» (Ruta 9), hito que vinculó a la ciudad con las mayores urbes del país;Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;210-211;
1937;Cañada de Gómez;"Creación y espacio del Aero Club.
Cita: ""...se creó el Aero Club Cañada de Gómez cuyo aeródromo se instaló en campos cedidos por Harold del Sel...""
";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;225;
1937;Bustinza;Sede Propia del Club Atlético Provincial (Mención contextual en Bustinza): Hito: Referencia a la cancha de fútbol y la vida social del Club Huracán en sus inicios.;Huellas de la infraestructura y las  instituciones;Bustinza y su historia;24;
1938;Cañada de Gómez;"Inauguración del edificio propio de la Sociedad Suiza.
Cita: ""...edificio propio, inaugurado el 23 de julio de 1938""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;283;
1939;Totoras;"La Máquina Autocosechadora de Miguel Druetta:
Hito: Innovación tecnológica de un inventor local que revolucionó la labor agrícola. Cita: ""Le correspondió a un inventor totorense, Miguel Druetta, el mérito de haber fabricado la primer autocosechadora, una de las maquinarias que revolucionó más profundamente las tareas agrícolas... para el año 1939 encontramos que la Casa Trottini... ya ofrecía la autocosechadora « Druet ».""";Huellas de la energía;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);38, 60;
1940;Cañada de Gómez;Pavimentación Masiva: El 14 de octubre de 1940 se inició una obra de gran envergadura donde «se pavimentaron inicialmente ciento cincuenta y cinco cuadras»;Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;230-231;
1940;Cañada de Gómez;Desagües Pluviales: Junto con la pavimentación, se realizaron las «obras del gran desagüe de la ciudad, instalándose un túnel que tuvo su inicio al norte de la Ruta Nº 9»;Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;230-231;
1940;Cañada de Gómez;"Conflicto por turnos de trabajo en obras públicas.
Cita: ""...la empresa que pavimentaba la ciudad debió asumir el compromiso de turnar las cuadrillas de obreros inscriptos en los registros de la Comisión Procreación de Trabajo... señalando además que los trabajadores culpaban al Intendente Municipal por no interesarse en hacer cumplir el compromiso..."".";Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;232;
1940;Salto Grande;En la década del cuarenta se construyó en el pueblo un gremio de transportistas camioneros que realizaban frecuentes viajes fuera del distrito Salto Grande, lo que prueba, que para esos años se presentaban como una alternativa importante al ferrocarril.;Huellas del transporte y las comunicaciones;Centenario de Salto Grande;;
1942;Cañada de Gómez;Silo Subterráneo: Se habilitó el «primer silo subterráneo del cerealista Enrique Maier, ubicado sobre la Ruta 9»;Huellas del trabajo;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;;
1942;Cañada de Gómez;"Inauguración del Parque-Balneario y Campo de Deportes.
Cita: ""El Parque-Balneario y Campo de Deportes construido en esta ciudad... será inaugurado el sábado a las 18... [28 de noviembre de 1942]""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;236;
1947;Totoras;"Estadísticas de telefonía y radiofonía: Aunque excede el periodo central de entreguerras, la fuente cita el crecimiento de esta infraestructura hacia el final de la década del 40. Cita: ""En el ejido urbano existían 35 teléfonos... en el pueblo funcionaban 340 aparatos radioeléctricos...""";Huellas del transporte y las comunicaciones;Historia de un pueblo santafesino en los años de entreguerras. Totoras (1914 - 1943);19;
1952;Departamental;"Se inauguró la Compañía de Transportes ""22 de Agosto"", que a partir de 1955 adoptó el nombre actual de ""Empresa General Güemes""";Huellas del transporte y las comunicaciones;Centenario de Salto Grande;;
1953;Salto Grande;"Fundación de la Cooperativa Agricultores Federados (AFA):
Hito: Los productores se unen para eliminar la dependencia de los acopiadores privados tradicionales.
Cita: ""...deciden constituir una cooperativa para comerciar sus cereales adquiriendo todas las instalaciones de la firma Staffolarini, Milanese y Cía... A partir de entonces se incorporan a Agricultores Federados Argentinos.""";Huellas del trabajo;Centenario de Salto Grande;111;
1960;Salto Grande;"Edificio propio de la Escuela Nº 244:
Hito: Inauguración de la sede permanente en Campo Rasetto.
Cita: ""...la finalización de la obra, inaugurada el 21 de febrero de 1960, con la presencia del nombrado gobernador [Silvestre Begnis]...""";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;92;
1963;Salto Grande;Creación de la Cooperativa Telefónica: Este es el hito fundacional de la infraestructura de telecomunicaciones moderna en el pueblo.;Huellas del transporte y las comunicaciones;Centenario de Salto Grande;115;
1964;Salto Grande;"Inicio de la enseñanza secundaria en el pueblo.
Cita: ""El Instituto José Hernández C-158 comenzó a funcionar en el año 1964 en el edificio de la Escuela Primaria Nº 241.""";Huellas de la infraestructura y las  instituciones;Centenario de Salto Grande;94;
1964;Salto Grande;"Modernización de la comercialización: Venta a granel:
Hito: Construcción de silos que cambian la forma tradicional de trabajar el grano en bolsas.
Cita: ""...se construye la primera planta de silos y secador que permite modernizar la comercialización del cereal, que en otras épocas se efectuaba en bolsa para pasar entonces a granel.""";Huellas del trabajo;Centenario de Salto Grande;111;
1971;Salto Grande;"Plebiscito y cambio oficial de nombre:
Hito: La población elige legalmente el nombre de Salto Grande sobre el de Froilán Palacios.";Huellas de la identidad y la celebración;Centenario de Salto Grande;31;
1974;Bustinza;"Centenario de Bustinza: Hito máximo de celebración comunitaria.
Hito: Actos y preparativos para festejar los 100 años de vida como colonia y pueblo.";Huellas de la identidad y la celebración;Bustinza y su historia;9, 42;
1976;Salto Grande;"Resurgimiento del Carnaval y Comparsa ""Catereté"":
Hito: El Club Provincial impulsa corsos y bailes que marcan una nueva etapa cultural.
Cita: ""Surgió la idea de festejar los carnavales... Se creó entonces la comparsa 'Catereté', la cual se fue superando año a año y llegó a contar con más de ciento veinte integrantes...""";Huellas de la identidad y la celebración;Centenario de Salto Grande;82;
1991;Salto Grande;"Televisión por cable: Incorporación de nuevos medios de comunicación.
Cita: ""En los últimos años el pueblo cuenta con un nuevo adelanto, a partir de la instalación del canal de circuito cerrado TELESAT, una feliz iniciativa de un grupo de jóvenes de la localidad.";Huellas del transporte y las comunicaciones;Centenario de Salto Grande;139, 140;
1857-1858;Bustinza;Levantamiento de la Posta de las Totoras y nuevo camino: Hito: Timoteo Gordillo establece un nuevo camino postal y levanta la posta cerca de donde hoy se encuentra Bustinza.;Huellas del transporte y las comunicaciones;Bustinza y su historia;83;
1875-1891;Totoras;"Desarrollo de infraestructura base: Antes de la llegada del ferrocarril (que se concretó en 1903 para el pueblo), Santa Teresa ya había consolidado servicios que le daban preeminencia regional, incluyendo los de comunicación.
Cita: ""Por el contrario, para 1891, Santa Teresa ya había desarrollado una infraestructura -comercios, escuelas, parroquia, etc.- que le permitió conservar su liderazgo, aún sin el ferrocarril.""";Huellas del transporte y las comunicaciones;La construcción de un espacio Humano en Santa Teresa, Estación Totoras (1875 - 1914);185;
1886-1887;Lucio V. López;"""Durante el año agrícola de 1886-1887, el molino de agua 'Del Salto' de Pedro Rossie, molió 516.825 kg. de trigo... lo que es un índice de que la zona tenía un importante desarrollo agrario, antes de la fundación del pueblo."" (...) ""...existía sobre el río Carcarañá un molino harinero propiedad de José Rozié llamado 'Del Salto', en razón de que sus instalaciones se movilizaban aprovechando la energía proporcionada por un salto del curso de agua.""";Huellas de la energía;Centenario de Salto Grande;24, 123;
1904-1905;Cañada de Gómez;"En 1904 se fundaron el club América y el Social, en 1905 el club Alem...""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;13;
1907-1908;Bustinza;"Presencia de la Escuela Fiscal y la gestión de Paulina Storni: Hito: Se menciona la actividad de la escuela durante la estadía de Alfonsina Storni, cuya madre fue directora.
Cita: ""...doña Paulina había instalado allí una escuela particular previamente a ser nombrada Directora de la Escuela Fiscal del Pueblo. Fue en uno de esos años, en la fiesta de fin de curso preparada por madre e hija, en que Alfonsina... cantó la canción entonces en boga 'La piedra del escándalo'..."".";Huellas de la infraestructura y las  instituciones;Bustinza y su historia;24;
1913-1921;Cañada de Gómez;"Expansión de clubes deportivos y sociales.
Cita: ""A los clubes pioneros de la década anterior se habían sumado Sport y el Lawn Tennis en 1913, Everton en 1914, Aprendices en 1915, Newell's en 1917, Misterioso en 1920, Ciclismo Club y el de Tiro a la Paloma en 1921...""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;51;
1918-1920;Cañada de Gómez;El telégrafo como herramienta de difusión. Se destaca el rol de los telegrafistas del ferrocarril en la comunicación de noticias e ideas políticas.;Huellas del transporte y las comunicaciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;149;
1922-1925;Cañada de Gómez;"Construcción e inauguración del Teatro Verdi (vinculado a la Sociedad Italiana).
Cita: ""...se colocó la piedra fundamental del Teatro Verdi, obra impulsada por la Societá Italiana... comenzaron a abrirse el 13 de julio de 1923 y su imponente estructura... El 14 de febrero de 1925... se produjo la apertura de la sala...""";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;59, 274 y 275;
1926-1932;Cañada de Gómez;"Construcción del edificio propio para el Centro Educativo Radial Campo Severini.
Cita: ""...hacia 1926 se iniciaron las obras de su edificio propio, inaugurado el 3 de agosto de 1932, siendo denominado con el tiempo CER N° 385 Campo Severini...";Huellas de la infraestructura y las  instituciones;Historia de Cañada de Gómez - Tomo 2. Entre el novecientos y 1950. El año del libertador;117;
1772;Departamental;"Sistema de Postas): Se establece este sistema para mejorar las comunicaciones en América.
Cita: ""...es a partir de 1772 cuando se implementa la creación del sistema de postas en toda América y con ello se logra mejorar notablemente las comunicaciones""";Huellas del transporte y las comunicaciones;Origen y formación de Bustinza;12;
1849 - 1852;Departamental;"(Mensajerías Argentinas): Surgimiento de la empresa de transporte de pasajeros y correspondencia.
Cita: ""...regularizarse a partir de la creación y organización de la empresa de carros, denominada Mensajerías Argentinas, hecho éste que se inicia hacia 1849... pero recién en 1852 comienza a prestar dichos servicios tan imprescindibles, con absoluta y verdadera utilidad""";Huellas del transporte y las comunicaciones;Origen y formación de Bustinza;12;
1991;Bustinza;"Comienza a funcionar la oficina para trámites de identidad.
Cita: ""...la creación del Registro Civil de Bustinza, que comenzó a funcionar hacia 1911""";Huellas de la infraestructura y las  instituciones;Origen y formación de Bustinza;38;
1930;Bustinza;"Colocación de postes para el servicio de telégrafo.
Cita: ""...se agrega la realización de trabajos de colocación de postes para la línea telegráfica, en Agosto de este mismo año """;Huellas del transporte y las comunicaciones;Origen y formación de Bustinza;48;
1970;Bustinza;La vieja cooperativa que daba servicios generales, vende los servicio de agua y energía a manos de nación ;Huellas de la infraestructura y las  instituciones;Origen y formación de Bustinza;54;
1970;Bustinza;Nace la cooperativa Telefónica de Bustinza Ltda.;Huellas del transporte y las comunicaciones;Origen y formación de Bustinza;54;
1928;Bustinza;"(Primer Tractor): La Comuna incorpora maquinaria motorizada para sus tareas.
Cita: ""...durante el mes de Setiembre de 1928, la Comuna adquiere el primer tractor...""";Huellas de la energía;Origen y formación de Bustinza;48;
1935;Bustinza;"(Inauguración del Alumbrado Público): Reemplazo del sistema antiguo por uno moderno.
Cita: ""...establecer el servicio de Alumbrado Público en Bustinza, efectuado con faroles a nafta, reemplazado en 1935, al ser inaugurado el servicio de alumbrado público""
";Huellas de la energía;Origen y formación de Bustinza;45;
1943;Bustinza;"(Bomba a motor de explosión): Adquisición de tecnología para servicios urbanos.
Cita: ""Durante este año se adquiere una bomba a motor de explosión para el riego de calles""";Huellas de la energía;Origen y formación de Bustinza;50;
1950;Bustinza;"Mejora sustancial en la capacidad de generación eléctrica.
Cita: ""De gran importancia es la compra de motores a diesel para colocar en la Usina que dará luz a toda la población. Si bien los trabajos de instalación eléctrica se inician aquí, sólo se concretan más adelante...""";Huellas de la energía;Origen y formación de Bustinza;53;
1955;Bustinza;"(Alternador Motor Buda): Cambio técnico para modernizar la red de distribución.
Cita: ""...se llega al año 1955 donde el interventor comunal Aldo Mascotti decide colocar un alternador al motor Buda que en ese momento movía al generador de corriente contínua, pasando a ser alternada""";Huellas de la energía;Origen y formación de Bustinza;53;
1959;Bustinza;"(Cooperativa de Electricidad): Organización vecinal para gestionar el suministro energético.
Cita: ""...a finales de Julio de 1959, donde reunidos en la Comuna, se conforma el Primer Consejo de Administración de la Cooperativa de Consumo Popular de Electricidad y Servicios Anexos de Bustinza Limitada""";Huellas de la energía;Origen y formación de Bustinza;54;
